Senate_ID,First,Last,Seniority,Bills_Sponsored,Bills_Cosponsored,total_votes,missed_votes,missed_votes_pct,votes_with_party,votes_with_party_pct,rank,notes
R000361,John,Rockefeller IV,21,50,208,645,143,22.17,143,91.24,2,NA
S001163,Ken,Salazar,1,43,339,645,12,1.86,12,89.57,50,NA
S000059,Richard,Santorum,11,156,272,645,30,4.65,30,91.54,13,Defeated for reelection
S000064,Paul,Sarbanes,29,20,189,645,7,1.09,7,93.42,77,Retired
S000148,Charles,Schumer,7,98,355,645,8,1.24,8,92.31,69,NA
S001141,Jeff,Sessions,9,28,139,645,7,1.09,7,91.07,78,NA
S000320,Richard,Shelby,19,12,62,645,10,1.55,10,91.97,61,NA
S001142,Gordon,Smith,9,94,232,645,9,1.4,9,86.95,64,NA
S000663,Olympia,Snowe,11,89,294,645,8,1.24,8,71.27,70,NA
S000709,Arlen,Specter,25,85,179,645,17,2.64,17,76.59,34,NA
S000770,Debbie,Stabenow,5,43,316,645,8,1.24,8,92.31,71,NA
S000888,Ted,Stevens,37,44,198,645,8,1.24,8,90.27,72,NA
S001078,John,Sununu,3,16,134,645,17,2.64,17,83.92,35,NA
T000024,James,Talent,5,76,227,645,4,0.62,4,87.68,87,Defeated for reelection
T000162,Craig,Thomas,11,29,124,645,25,3.88,25,91.45,20,NA
T000250,John,Thune,1,23,183,645,17,2.64,17,91.24,36,NA
V000127,David,Vitter,1,74,241,645,24,3.72,24,90.66,21,NA
V000126,George,Voinovich,7,35,184,645,5,0.78,5,85.78,82,NA
W000154,John,Warner,27,21,158,645,12,1.86,12,87.84,51,NA
W000779,Ron,Wyden,10,26,213,645,4,0.62,4,90.48,88,NA
