15,75,256,16,16,37
3,26,181,15,15,40
9,47,159,4,4,83
5,65,288,2,2,91
27,46,219,22,22,22
7,22,235,14,14,42
13,17,122,11,11,52
33,41,258,64,64,4
23,56,362,16,16,38
19,29,138,2,2,92
13,47,406,26,26,16
11,97,211,13,13,45
7,29,174,20,20,27
17,44,221,18,18,31
1,81,189,10,10,56
47,13,95,17,17,32
5,50,342,8,8,65
5,70,167,2,2,93
7,8,222,20,20,28
3,74,215,17,17,33
5,90,497,16,16,39
1,16,153,8,8,66
27,15,273,13,13,46
3,65,299,25,25,18
9,54,304,0,0,100
19,27,145,19,19,29
3,44,216,8,8,67
5,34,265,136,136,1
15,49,182,10,10,57
7,30,181,4,4,84
5,16,324,32,32,10
1,77,158,11,11,53
11,92,375,3,3,89
25,60,344,29,29,14
3,34,230,7,7,74
33,56,144,28,28,15
13,32,286,14,14,43
9,85,552,7,7,73
5,44,166,12,12,47
9,43,182,36,36,8
13,75,276,8,8,68
13,129,337,11,11,54
11,125,141,4,4,85
3,30,179,22,22,23
25,62,156,0,0,101
13,24,128,14,14,44
9,38,254,10,10,58
21,47,273,12,12,48
29,66,188,21,21,26
13,40,156,7,7,75
13,70,166,12,12,49
37,48,250,71,71,3
1,33,308,10,10,59
17,25,283,34,34,9
9,27,408,9,9,62
43,69,424,19,19,30
21,69,414,26,26,17
17,20,180,6,6,79
11,30,147,4,4,86
9,61,375,22,22,24
21,79,483,15,15,41
31,32,308,3,3,90
27,38,276,2,2,94
17,42,413,48,48,7
7,43,277,6,6,80
17,37,175,50,50,6
29,73,191,7,7,76
1,30,220,22,22,25
19,75,152,58,58,5
21,14,70,1,1,97
19,21,337,32,32,11
5,41,224,25,25,19
13,32,340,5,5,81
5,41,269,10,10,60
5,32,183,2,2,95
1,66,255,11,11,55
3,12,259,2,2,96
9,36,230,1,1,98
19,61,259,1,1,99
9,15,151,9,9,63
21,50,208,143,143,2
1,43,339,12,12,50
11,156,272,30,30,13
29,20,189,7,7,77
7,98,355,8,8,69
9,28,139,7,7,78
19,12,62,10,10,61
9,94,232,9,9,64
11,89,294,8,8,70
25,85,179,17,17,34
5,43,316,8,8,71
37,44,198,8,8,72
3,16,134,17,17,35
5,76,227,4,4,87
11,29,124,25,25,20
1,23,183,17,17,36
1,74,241,24,24,21
7,35,184,5,5,82
27,21,158,12,12,51
10,26,213,4,4,88
